producto,toneladas,fecha
avena,956,1997/4
avena,2148,1997/8
avena,1497,1997/12
avena,1258,1997/1
avena,748,1997/2
avena,1571,1997/7
avena,1335,1997/6
avena,961,1997/3
avena,61,1997/5
avena,1794,1997/11
avena,2039,1997/10
avena,1717,1997/9
centeno,48,1997/4
centeno,77,1997/8
centeno,62,1997/12
centeno,38,1997/1
centeno,54,1997/2
centeno,64,1997/7
centeno,474,1997/6
centeno,31,1997/3
centeno,49,1997/5
centeno,67,1997/11
centeno,59,1997/10
centeno,68,1997/9
girasol,639215,1997/4
girasol,490330,1997/8
girasol,221388,1997/12
girasol,159665,1997/1
girasol,421711,1997/2
girasol,393638,1997/7
girasol,486151,1997/6
girasol,759530,1997/3
girasol,555987,1997/5
girasol,372785,1997/11
girasol,501175,1997/10
girasol,459265,1997/9
maiz,176069,1997/4
maiz,173885,1997/8
maiz,189538,1997/12
maiz,144100,1997/1
maiz,145972,1997/2
maiz,180615,1997/7
maiz,163188,1997/6
maiz,174861,1997/3
maiz,173677,1997/5
maiz,187100,1997/11
maiz,189487,1997/10
maiz,169911,1997/9
mani,752,1997/4
mani,16333,1997/8
mani,5041,1997/12
mani,20246,1997/1
mani,18884,1997/2
mani,13929,1997/7
mani,10991,1997/6
mani,13526,1997/3
mani,8729,1997/5
mani,13006,1997/11
mani,16132,1997/10
mani,14771,1997/9
soja,816433,1997/4
soja,1317834,1997/8
soja,625916,1997/12
soja,523115,1997/1
soja,365222,1997/2
soja,1307645,1997/7
soja,1207777,1997/6
soja,356216,1997/3
soja,1134776,1997/5
soja,592963,1997/11
soja,1110535,1997/10
soja,1267964,1997/9
avena,1856,1998/4
avena,1276,1998/8
avena,967,1998/12
avena,1689,1998/1
avena,2116,1998/2
avena,1518,1998/7
avena,1453,1998/6
avena,1516,1998/3
avena,1609,1998/5
avena,1101,1998/11
avena,1231,1998/10
avena,1298,1998/9
centeno,48,1998/4
centeno,90,1998/8
centeno,109,1998/12
centeno,88,1998/1
centeno,159,1998/2
centeno,122,1998/7
centeno,49,1998/6
centeno,127,1998/3
centeno,133,1998/5
centeno,159,1998/11
centeno,111,1998/10
centeno,76,1998/9
girasol,664661,1998/4
girasol,405934,1998/8
girasol,83195,1998/12
girasol,163693,1998/1
girasol,295165,1998/2
girasol,520542,1998/7
girasol,554382,1998/6
girasol,822151,1998/3
girasol,589933,1998/5
girasol,269170,1998/11
girasol,395045,1998/10
girasol,396330,1998/9
maiz,184918,1998/4
maiz,194349,1998/8
maiz,178952,1998/12
maiz,170156,1998/1
maiz,172405,1998/2
maiz,190349,1998/7
maiz,183978,1998/6
maiz,180383,1998/3
maiz,189446,1998/5
maiz,183644,1998/11
maiz,196001,1998/10
maiz,190916,1998/9
mani,3998,1998/4
mani,45022,1998/8
mani,15137,1998/12
mani,2696,1998/1
mani,9917,1998/2
mani,26875,1998/7
mani,19697,1998/6
mani,0,1998/3
mani,8944,1998/5
mani,24689,1998/11
mani,33163,1998/10
mani,32949,1998/9
soja,1173839,1998/4
soja,1738013,1998/8
soja,1394780,1998/12
soja,553371,1998/1
soja,265901,1998/2
soja,1728049,1998/7
soja,1588356,1998/6
soja,379052,1998/3
soja,1475430,1998/5
soja,1679108,1998/11
soja,1695965,1998/10
soja,1818757,1998/9
avena,1823,1999/4
avena,2269,1999/8
avena,1554,1999/12
avena,1255,1999/1
avena,1655,1999/2
avena,2440,1999/7
avena,1632,1999/6
avena,2089,1999/3
avena,1444,1999/5
avena,1233,1999/11
avena,2315,1999/10
avena,1551,1999/9
centeno,96,1999/4
centeno,6,1999/8
centeno,8,1999/12
centeno,48,1999/1
centeno,97,1999/2
