producto,año,provincia_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,produccion_tn
avena,1997,6,1800.0,500.0,1100.0,2200.0,
avena,1998,6,500.0,200.0,460.0,2300.0,
avena,1999,6,1600.0,500.0,1600.0,3200.0,
avena,2000,6,1730.0,438.0,960.0,2192.0,
avena,2001,6,1100.0,400.0,680.0,1700.0,
avena,2002,6,835.0,100.0,180.0,1800.0,
avena,2003,6,1200.0,490.0,930.0,1898.0,
avena,2004,6,1100.0,620.0,1610.0,2597.0,
avena,2005,6,1300.0,300.0,630.0,2100.0,
avena,2006,6,1500.0,500.0,1150.0,2300.0,
avena,2007,6,1700.0,700.0,1540.0,2200.0,
avena,2008,6,1500.0,750.0,1430.0,1907.0,
avena,2009,6,2500.0,1000.0,2400.0,2400.0,
avena,2010,6,2500.0,1900.0,5700.0,3000.0,
avena,2011,6,4200.0,2200.0,5720.0,2600.0,
avena,2012,6,6000.0,2200.0,4620.0,2100.0,
avena,2013,6,8000.0,3200.0,7680.0,2400.0,
avena,2014,6,6500.0,4600.0,10120.0,2200.0,
avena,2015,6,16000.0,4200.0,12180.0,2900.0,
avena,2016,6,13500.0,4500.0,14850.0,3300.0,
avena,2017,6,13500.0,9000.0,29700.0,3300.0,
avena,1997,6,14000.0,1800.0,3800.0,2111.0,
avena,1998,6,13000.0,2000.0,4000.0,2000.0,
avena,1999,6,13000.0,10000.0,20000.0,2000.0,
avena,2000,6,2000.0,1000.0,1300.0,1300.0,
avena,2001,6,1000.0,300.0,600.0,2000.0,
avena,2002,6,1000.0,200.0,360.0,1800.0,
avena,2003,6,500.0,0.0,0.0,0.0,
avena,2004,6,500.0,50.0,150.0,3000.0,
avena,2005,6,1500.0,300.0,900.0,3000.0,
avena,2006,6,1500.0,300.0,1200.0,4000.0,
avena,2007,6,1500.0,200.0,500.0,2500.0,
avena,2008,6,1600.0,100.0,200.0,2000.0,
avena,2009,6,2200.0,500.0,1270.0,2540.0,
avena,2010,6,3000.0,300.0,900.0,3000.0,
avena,2011,6,4000.0,400.0,1600.0,4000.0,
avena,2012,6,2500.0,230.0,460.0,2000.0,
avena,2013,6,3000.0,600.0,1800.0,3000.0,
avena,2014,6,2000.0,300.0,900.0,3000.0,
avena,2015,6,2000.0,200.0,800.0,4000.0,
avena,2016,6,2500.0,500.0,1500.0,3000.0,
avena,2017,6,2500.0,500.0,1750.0,3500.0,
avena,1997,6,45000.0,5000.0,7500.0,1500.0,
avena,1998,6,50000.0,8000.0,12000.0,1500.0,
avena,1999,6,50000.0,8000.0,10400.0,1300.0,
avena,2000,6,55000.0,8000.0,16800.0,2100.0,
avena,2001,6,50000.0,8000.0,12000.0,1500.0,
avena,2002,6,60000.0,13000.0,26000.0,2000.0,
avena,2003,6,55000.0,6000.0,10200.0,1700.0,
avena,2004,6,45000.0,5000.0,9500.0,1900.0,
avena,2005,6,48000.0,4000.0,5600.0,1400.0,
