cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo,abril,mayo ,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1950,centeno,t,tonelada,48,161,127,88,916,993,462,1427,1537,436,890,884
32,Argentina,1951,centeno,t,tonelada,771,1966,977,249,544,747,422,442,468,365,540,250
32,Argentina,1952,centeno,t,tonelada,298,319,254,171,258,268,287,358,222,114,97,144
32,Argentina,1953,centeno,t,tonelada,96,62,52,104,78,135,138,156,121,211,1576,774
32,Argentina,1954,centeno,t,tonelada,2525,1863,2235,2163,2188,2128,690,151,246,278,213,172
32,Argentina,1955,centeno,t,tonelada,201,204,312,402,250,215,278,267,307,319,310,274
32,Argentina,1956,centeno,t,tonelada,342,377,318,268,405,383,353,314,297,402,393,267
32,Argentina,1957,centeno,t,tonelada,184,279,314,249,366,1286,1414,1637,774,2026,524,769
32,Argentina,1958,centeno,t,tonelada,149,144,1265,241,222,210,327,171,212,175,262,175
32,Argentina,1959,centeno,t,tonelada,180,246,131,196,204,105,177,217,119,96,131,171
32,Argentina,1960,centeno,t,tonelada,114,108,119,98,148,175,119,249,118,130,211,150
32,Argentina,1961,centeno,t,tonelada,198,266,318,453,124,239,251,216,241,330,167,154
32,Argentina,1962,centeno,t,tonelada,136,189,327,241,243,213,247,264,237,189,188,132
32,Argentina,1963,centeno,t,tonelada,214,180,198,167,172,204,254,187,145,208,169,214
32,Argentina,1964,centeno,t,tonelada,194,136,181,224,143,194,258,156,225,175,192,144
32,Argentina,1965,centeno,t,tonelada,243,249,248,304,247,269,541,844,609,409,544,352
32,Argentina,1966,centeno,t,tonelada,371,169,303,306,185,217,172,218,308,153,206,184
32,Argentina,1967,centeno,t,tonelada,124,155,205,271,154,302,217,245,209,166,177,157
32,Argentina,1968,centeno,t,tonelada,153,175,165,184,246,176,335,439,490,436,253,294
32,Argentina,1969,centeno,t,tonelada,192,127,228,178,185,198,230,161,237,199,224,179
32,Argentina,1970,centeno,t,tonelada,199,222,208,236,314,297,323,300,323,379,300,7
32,Argentina,1971,centeno,t,tonelada,254,171,305,266,229,278,249,247,218,280,315,217
32,Argentina,1972,centeno,t,tonelada,218,252,222,208,227,205,234,217,207,183,229,208
32,Argentina,1973,centeno,t,tonelada,195,222,247,236,264,277,300,286,231,718,581,295
32,Argentina,1974,centeno,t,tonelada,245,236,369,307,354,300,349,370,705,1892,1524,586
32,Argentina,1975,centeno,t,tonelada,312,163,784,235,263,167,620,365,356,518,1815,390
32,Argentina,1976,centeno,t,tonelada,245,159,205,227,366,192,186,264,326,250,247,261
32,Argentina,1977,centeno,t,tonelada,145,58,129,140,120,141,164,170,144,145,552,101
32,Argentina,1978,centeno,t,tonelada,104,48,97,157,76,86,95,43,98,106,124,78
32,Argentina,1979,centeno,t,tonelada,46,45,95,90,40,86,92,134,137,137,85,73
32,Argentina,1980,centeno,t,tonelada,70,71,107,72,182,78,100,116,115,118,96,110
32,Argentina,1981,centeno,t,tonelada,127,33,0,0,115,64,44,88,85,81,0,47
32,Argentina,1982,centeno,t,tonelada,37,48,16,49,51,69,54,44,827,1202,1198,64
32,Argentina,1983,centeno,t,tonelada,74,81,73,95,130,39,78,66,162,107,66,13
32,Argentina,1984,centeno,t,tonelada,67,4,34,88,120,104,47,0,32,413,311,62
32,Argentina,1985,centeno,t,tonelada,82,35,237,781,1881,1535,145,1092,694,717,501,540
32,Argentina,1986,centeno,t,tonelada,3,14,199,23,26,0,0,39,0,0,69,0
32,Argentina,1987,centeno,t,tonelada,6,2,0,26,0,29,22,25,0,17,22,21
32,Argentina,1988,centeno,t,tonelada,7,0,30,11,20,0,17,0,9,35,14,10
32,Argentina,1989,centeno,t,tonelada,0,0,0,168,118,52,17,14,4,42,34,12
32,Argentina,1990,centeno,t,tonelada,0,0,25,15,23,9,15,0,3,0,0,0
32,Argentina,1991,centeno,t,tonelada,5,11,0,0,0,0,0,0,0,0,0,0
32,Argentina,1992,centeno,t,tonelada,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1993,centeno,t,tonelada,0,0,8,7,6,15,6,14,29,19,16,16
32,Argentina,1994,centeno,t,tonelada,16,10,34,13,19,323,85,15,5,24,7,0
32,Argentina,1995,centeno,t,tonelada,0,7,28,3,3,2,12,9,1,6,1,18
32,Argentina,1996,centeno,t,tonelada,0,0,0,0,0,0,2,5,4,13,0,3
32,Argentina,1997,centeno,t,tonelada,38,54,31,48,49,474,64,77,68,59,67,62
32,Argentina,1998,centeno,t,tonelada,88,159,127,48,133,49,122,90,76,111,159,109
32,Argentina,1999,centeno,t,tonelada,48,97,101,96,97,116,54,6,19,0,11,8
32,Argentina,2000,centeno,t,tonelada,6,8,9,10,7,6,5,11,85,81,85,91
32,Argentina,2001,centeno,t,tonelada,86,86,83,68,81,88,92,53,100,41,93,26
32,Argentina,2002,centeno,t,tonelada,20,17,3,5,3,3,5,5,1,4,1,2
32,Argentina,2003,centeno,t,tonelada,1,1,1,0,2,1,2,2,2,2,2,0
32,Argentina,2004,centeno,t,tonelada,0,2,1,0,0,0,0,0,0,43,46,44
32,Argentina,2005,centeno,t,tonelada,41,44,44,40,44,40,48,42,42,39,20,20
32,Argentina,2006,centeno,t,tonelada,44,37,49,37,47,45,43,45,47,53,50,56
32,Argentina,2007,centeno,t,tonelada,68,46,62,49,51,63,47,56,51,58,62,40
32,Argentina,2008,centeno,t,tonelada,46,55,62,69,65,39,104,141,100,54,51,51
32,Argentina,2009,centeno,t,tonelada,65,39,137,62,44,56,68,49,78,94,49,75
32,Argentina,2010,centeno,t,tonelada,47,35,72,27,21,0,20,30,33,0,33,51
32,Argentina,2011,centeno,t,tonelada,25,31,35,37,29,34,64,41,39,39,93,39
32,Argentina,2012,centeno,t,tonelada,45,46,46,44,45,3,39,35,29,32,32,32
32,Argentina,2013,centeno,t,tonelada,81,20,40,30,23,24,4,24,0,0,0,26
32,Argentina,2014,centeno,t,tonelada,58,108,17,33,29,21,23,24,29,8,4,55
32,Argentina,2015,centeno,t,tonelada,3,5,15,5,5,4,22,16,7,4,4,36
32,Argentina,2016,centeno,t,tonelada,20,19,59,24,21,18,23,28,16,16,18,19
32,Argentina,2017,centeno,t,tonelada,17,14,37,19,15,18,23,26,22,18,23,17
32,Argentina,2018,centeno,t,tonelada,11,3,13,199,101,8,6,0,5,,,
