pais_id,nom_pais,año,uni_med,nom_med,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1950,t,tonelada,10020,7855,12792,12935,13690,14769,14796,14347,13095,11863,12000,10212
32,Argentina,1951,t,tonelada,9483,7573,10773,13241,13192,16577,16950,15618,14666,12970,16152,14059
32,Argentina,1952,t,tonelada,12405,12083,13149,15785,16951,14948,16252,17858,17398,14979,16152,16058
32,Argentina,1953,t,tonelada,12736,11042,11776,15563,17189,15446,15395,15311,15244,14179,14171,13611
32,Argentina,1954,t,tonelada,9922,9743,14089,14598,12998,16522,16949,15918,16282,15569,15778,14663
32,Argentina,1955,t,tonelada,12034,10246,15248,16263,19069,19129,19076,20687,16115,21380,18911,18447
32,Argentina,1956,t,tonelada,17100,13942,18342,18103,21401,20954,20688,20217,19254,21094,21107,19481
32,Argentina,1957,t,tonelada,16842,13614,19722,19485,20739,19599,19675,20533,20056,18887,20344,16374
32,Argentina,1958,t,tonelada,11647,12173,16930,20235,18773,18876,18704,17277,17647,16791,18175,18640
32,Argentina,1959,t,tonelada,17205,11352,19263,18575,20508,22701,22548,20001,18904,16284,15054,16507
32,Argentina,1960,t,tonelada,16014,11506,20403,20279,20516,20500,18943,21523,18686,12572,19622,22743
32,Argentina,1961,t,tonelada,19780,17891,22639,22170,20640,20066,19646,20685,18282,18409,17711,17597
32,Argentina,1962,t,tonelada,17548,15547,18746,18624,19620,19695,18395,13926,17308,17591,18997,16622
32,Argentina,1963,t,tonelada,16237,13589,15455,19676,17272,16969,20173,18609,16806,17575,17845,15596
32,Argentina,1964,t,tonelada,15451,14193,19746,20586,20552,21371,26094,23901,25525,25125,24693,25274
32,Argentina,1965,t,tonelada,28595,22449,33712,33724,33412,34725,32728,34674,36576,35875,37406,41505
32,Argentina,1966,t,tonelada,38900,29083,39675,30727,32483,33276,35380,36253,32249,32013,31568,30141
32,Argentina,1967,t,tonelada,18891,26189,33139,33733,35679,39988,44312,41999,37710,38987,39618,35622
32,Argentina,1968,t,tonelada,33414,37622,43257,43471,46279,41824,45535,45437,47686,53348,51047,49585
32,Argentina,1969,t,tonelada,47036,44231,51189,50574,46571,48950,54995,50138,54055,59164,59598,58226
