cod_pais,nom_pais,año,producto,destino,uni_med,nom_med,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1950,grano de maní,aceite de maní,t,tonelada,2661,2517,4043,1843,3305,3076,3614,1888,5543,3185,3461,1900
32,Argentina,1951,grano de maní,aceite de maní,t,tonelada,1249,3915,2798,3195,898,1325,2720,2366,4369,4027,4281,5334
32,Argentina,1952,grano de maní,aceite de maní,t,tonelada,3602,5169,5434,7113,1462,4162,5540,4372,7484,12041,9846,15364
32,Argentina,1953,grano de maní,aceite de maní,t,tonelada,14118,5872,6441,1829,269,3952,8506,8644,8935,13556,10319,8387
32,Argentina,1954,grano de maní,aceite de maní,t,tonelada,3818,1520,629,448,0,426,2655,3107,2714,11049,22593,28856
32,Argentina,1955,grano de maní,aceite de maní,t,tonelada,19100,5245,7553,3704,913,1337,1068,4165,9213,9587,10232,6867
32,Argentina,1956,grano de maní,aceite de maní,t,tonelada,6298,1755,2672,814,2313,3452,6521,16004,16872,16990,14786,9634
32,Argentina,1957,grano de maní,aceite de maní,t,tonelada,9312,8005,7983,3552,3392,6036,11358,20194,16612,22103,22102,17061
32,Argentina,1958,grano de maní,aceite de maní,t,tonelada,19039,15022,19951,11660,13865,21866,25365,25214,36865,40171,24935,18168
32,Argentina,1959,grano de maní,aceite de maní,t,tonelada,7793,6994,9083,2265,3567,14956,12669,14054,12727,12314,10947,6126
32,Argentina,1960,grano de maní,aceite de maní,t,tonelada,10912,5161,6240,2101,10950,21231,29515,28522,18323,14501,11561,8776
32,Argentina,1961,grano de maní,aceite de maní,t,tonelada,10173,8137,7665,1957,18128,24067,22338,30063,23567,14773,9808,8855
32,Argentina,1962,grano de maní,aceite de maní,t,tonelada,4051,3893,1775,5561,15355,26819,37691,36606,34841,37614,32730,17432
32,Argentina,1963,grano de maní,aceite de maní,t,tonelada,14419,8535,3861,10598,21439,23327,32817,28624,33288,26592,20043,11616
32,Argentina,1964,grano de maní,aceite de maní,t,tonelada,5814,1378,310,15062,22464,28498,30718,27915,30313,25147,22064,10659
32,Argentina,1965,grano de maní,aceite de maní,t,tonelada,8645,4881,759,15613,27404,26823,28989,28126,29637,29161,33361,25715
32,Argentina,1966,grano de maní,aceite de maní,t,tonelada,18693,18642,11723,11788,22833,43324,44104,31276,27655,24781,21876,11748
32,Argentina,1967,grano de maní,aceite de maní,t,tonelada,10723,496,1421,7321,35229,35397,33754,27645,15837,17060,12851,10749
