cod_pais,nom_pais,año,producto,destino,cod_uni,nom_uni,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1967,grano de soja,industria aceitera,t,tonelada,0,0,0,0,0,0,0,203,62,1125,1390,620
32,Argentina,1968,grano de soja,industria aceitera,t,tonelada,1421,141,241,12,426,364,1852,384,228,2226,1219,3318
32,Argentina,1969,grano de soja,industria aceitera,t,tonelada,691,0,0,0,0,875,3291,3743,1466,670,2495,231
32,Argentina,1970,grano de soja,industria aceitera,t,tonelada,2162,0,270,0,0,1332,2123,5744,2735,3965,1139,1448
32,Argentina,1971,grano de soja,industria aceitera,t,tonelada,760,520,1318,755,2874,3404,3448,2378,5437,4642,3850,2955
32,Argentina,1972,grano de soja,industria aceitera,t,tonelada,1960,2372,1675,0,3112,2800,7102,9148,8486,5886,2077,1937
32,Argentina,1973,grano de soja,industria aceitera,t,tonelada,2621,753,2189,450,12353,19275,26826,29468,23715,16420,12660,17744
32,Argentina,1974,grano de soja,industria aceitera,t,tonelada,15020,11411,9339,6435,14457,17920,19336,33027,29169,40394,30417,19528
32,Argentina,1975,grano de soja,industria aceitera,t,tonelada,17335,25182,27854,25305,26862,50773,47642,64973,52734,70817,53077,35964
32,Argentina,1976,grano de soja,industria aceitera,t,tonelada,26889,40952,33082,23961,39553,44440,44347,45557,48454,53807,39134,44248
32,Argentina,1977,grano de soja,industria aceitera,t,tonelada,47889,31133,33216,31282,35499,45978,47638,43944,50643,63090,64559,73466
32,Argentina,1978,grano de soja,industria aceitera,t,tonelada,57652,42515,32234,36753,42484,48935,41581,75643,66817,76441,77834,59147
32,Argentina,1979,grano de soja,industria aceitera,t,tonelada,66419,53584,40691,10281,57451,91500,71859,64734,56204,64335,57355,52740
32,Argentina,1980,grano de soja,industria aceitera,t,tonelada,53539,43763,14248,35828,64485,78259,82403,75221,91730,82824,91962,63734
32,Argentina,1981,grano de soja,industria aceitera,t,tonelada,21768,24392,7517,34073,84602,102123,136957,136969,160072,147943,97865,57023
32,Argentina,1982,grano de soja,industria aceitera,t,tonelada,56385,39282,44005,33479,117262,167333,216697,230590,157209,195657,286158,191894
