cod_pais,nom_pais,año,producto,destino,uni_med,nom_med,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembra
32,Argentina,1993,grano de soja,industria balanceadora,t,tonelada,10520,9693,11002,9107,9894,11477,12138,14356,13258,10375,12668,10893
32,Argentina,1994,grano de soja,industria balanceadora,t,tonelada,8856,8066,8344,9805,10275,11479,11416,9339,14052,10294,10078,8222
32,Argentina,1995,grano de soja,industria balanceadora,t,tonelada,9478,8514,8243,10973,16773,13045,10933,9895,8964,8661,9236,7861
32,Argentina,1996,grano de soja,industria balanceadora,t,tonelada,7086,6420,8641,10420,11147,11354,11531,10583,9492,9908,8886,7364
32,Argentina,1997,grano de soja,industria balanceadora,t,tonelada,11745,7975,10063,13882,14524,16317,17861,12997,14239,13493,12260,10731
32,Argentina,1998,grano de soja,industria balanceadora,t,tonelada,10330,10304,9750,12823,14463,17700,14691,17780,19618,19750,18318,17654
32,Argentina,1999,grano de soja,industria balanceadora,t,tonelada,16199,13869,15952,19696,20882,21937,21726,20098,17495,16727,19032,15546
32,Argentina,2000,grano de soja,industria balanceadora,t,tonelada,13849,13698,15394,20176,17553,17430,16565,16929,16626,18427,19895,15527
32,Argentina,2001,grano de soja,industria balanceadora,t,tonelada,17866,14773,15433,24362,29390,27168,21967,27802,18176,13587,13731,12125
32,Argentina,2002,grano de soja,industria balanceadora,t,tonelada,15109,11736,14438,20116,21011,22686,22928,16963,16095,17248,18463,16127
32,Argentina,2003,grano de soja,industria balanceadora,t,tonelada,18728,15604,16648,19608,19410,16443,20597,20262,15715,11868,12224,15569
32,Argentina,2004,grano de soja,industria balanceadora,t,tonelada,14803,13121,4396,11714,11197,11449,9927,10647,13205,13744,12898,12118
32,Argentina,2005,grano de soja,industria balanceadora,t,tonelada,6132,7985,8048,20762,16670,19411,24415,28077,23562,31886,35740,36025
32,Argentina,2006,grano de soja,industria balanceadora,t,tonelada,33089,34646,31267,32569,42284,36147,33319,51930,47199,34278,28114,31989
32,Argentina,2007,grano de soja,industria balanceadora,t,tonelada,39982,51946,32939,34036,36190,24352,34563,29483,33002,32659,29142,28035
32,Argentina,2008,grano de soja,industria balanceadora,t,tonelada,36393,35528,25480,45296,31220,26921,31606,20995,28847,25749,30492,35880
32,Argentina,2009,grano de soja,industria balanceadora,t,tonelada,37922,27728,36804,45695,39257,44659,39075,38733,40188,40448,31594,29454
32,Argentina,2010,grano de soja,industria balanceadora,t,tonelada,27905,25641,26434,47027,50832,42608,57602,43425,37455,50110,40486,40503
32,Argentina,2011,grano de soja,industria balanceadora,t,tonelada,38845,24884,36090,43607,40095,55344,51321,40074,38743,40448,39251,47498
32,Argentina,2012,grano de soja,industria balanceadora,t,tonelada,42390,29261,32462,30000,38910,60905,50392,41043,30037,29205,23975,19599
32,Argentina,2013,grano de soja,industria balanceadora,t,tonelada,24354,18103,23964,32250,30779,30152,62909,31965,26775,27075,30685,27536
32,Argentina,2014,grano de soja,industria balanceadora,t,tonelada,31254,26036,25942,33785,37141,36062,39262,39249,42217,39806,34389,32855
32,Argentina,2015,grano de soja,industria balanceadora,t,tonelada,37839,35394,34661,54253,58431,53990,56397,41594,43507,35675,34325,35163
32,Argentina,2016,grano de soja,industria balanceadora,t,tonelada,43362,40767,45552,43981,46347,42959,42647,44467,38718,36173,42080,28955
32,Argentina,2017,grano de soja,industria balanceadora,t,tonelada,28054,23958,31259,33132,43332,40351,38013,38367,25916,37720,37480,35901
32,Argentina,2018,grano de soja,industria balanceadora,t,tonelada,34291,32618,37847,39192,40410,38421,38676,37074,25302,,,
