cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamnto_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha
centeno,1923,1923/1924,Buenos Aires,6,Adolfo Alsina,6007,9600,9400,6204,600
centeno,1923,1923/1924,Buenos Aires,6,Adolfo Gonzales Chaves,6014,200,182,167,920
centeno,1923,1923/1924,Buenos Aires,6,Azul,6049,100,80,77,960
centeno,1923,1923/1924,Buenos Aires,6,Bahía Blanca,6056,200,190,148,780
centeno,1923,1923/1924,Buenos Aires,6,Baradero,6070,5,5,4,820
centeno,1923,1923/1924,Buenos Aires,6,Benito Juárez,6084,100,87,57,660
centeno,1923,1923/1924,Buenos Aires,6,Bolívar,6105,700,690,400,590
centeno,1923,1923/1924,Buenos Aires,6,Bragado,6112,100,90,45,500
centeno,1923,1923/1924,Buenos Aires,6,Carlos Casares,6147,900,880,616,700
centeno,1923,1923/1924,Buenos Aires,6,Carlos Tejedor,6154,800,750,495,660
centeno,1923,1923/1924,Buenos Aires,6,Carmen de Areco,6161,10,9,4,500
centeno,1923,1923/1924,Buenos Aires,6,Coronel Dorrego,6189,1060,1046,649,620
centeno,1923,1923/1924,Buenos Aires,6,Coronel Pringles,6196,500,474,365,770
centeno,1923,1923/1924,Buenos Aires,6,Coronel Suárez,6203,2500,2000,1200,600
centeno,1923,1923/1924,Buenos Aires,6,Chacabuco,6210,500,456,355,780
centeno,1923,1923/1924,Buenos Aires,6,Chivilcoy,6224,100,80,68,850
centeno,1923,1923/1924,Buenos Aires,6,Daireaux,6231,3000,2800,2548,910
centeno,1923,1923/1924,Buenos Aires,6,General Alvarado,6280,10,5,4,720
centeno,1923,1923/1924,Buenos Aires,6,General Arenales,6294,40,38,29,760
centeno,1923,1923/1924,Buenos Aires,6,General La Madrid,6322,100,85,56,660
centeno,1923,1923/1924,Buenos Aires,6,General Pinto,6351,800,770,554,720
centeno,1923,1923/1924,Buenos Aires,6,General Viamonte,6385,200,180,126,700
centeno,1923,1923/1924,Buenos Aires,6,General Villegas,6392,3600,3500,3150,900
centeno,1923,1923/1924,Buenos Aires,6,Guaminí,6399,3000,2800,1960,910
centeno,1923,1923/1924,Buenos Aires,6,Junín,6413,300,282,197,700
centeno,1923,1923/1924,Buenos Aires,6,Laprida,6448,150,138,101,730
centeno,1923,1923/1924,Buenos Aires,6,Las Flores,6455,10,10,12,1210
centeno,1923,1923/1924,Buenos Aires,6,Leandro N. Alem,6462,500,480,336,700
centeno,1923,1923/1924,Buenos Aires,6,Lincoln,6469,2000,1900,1045,550
centeno,1923,1923/1924,Buenos Aires,6,Necochea,6581,350,340,251,740
centeno,1923,1923/1924,Buenos Aires,6,9 de Julio,6588,500,475,342,720
centeno,1923,1923/1924,Buenos Aires,6,Olavarría,6595,100,80,74,920
centeno,1923,1923/1924,Buenos Aires,6,Patagones,6602,300,250,175,700
centeno,1923,1923/1924,Buenos Aires,6,Pehuajó,6609,2000,1907,1258,660
centeno,1923,1923/1924,Buenos Aires,6,Pellegrini,6616,5600,5500,4290,780
centeno,1923,1923/1924,Buenos Aires,6,Pergamino,6623,20,20,22,1100
centeno,1923,1923/1924,Buenos Aires,6,Puán,6651,5800,5700,3420,620
centeno,1923,1923/1924,Buenos Aires,6,Rivadavia,6679,2600,2500,1750,700
centeno,1923,1923/1924,Buenos Aires,6,Saavedra,6700,2000,1950,1170,600
centeno,1923,1923/1924,Buenos Aires,6,Salto,6714,5,5,2,500
centeno,1923,1923/1924,Buenos Aires,6,San Nicolás,6763,20,18,14,800
centeno,1923,1923/1924,Buenos Aires,6,Tandil,6791,200,193,193,1000
centeno,1923,1923/1924,Buenos Aires,6,Tapalqué,6798,40,,,
centeno,1923,1923/1924,Buenos Aires,6,Tornquist,6819,1600,1500,1455,970
centeno,1923,1923/1924,Buenos Aires,6,Trenque Lauquen,6826,3500,3313,2186,660
centeno,1923,1923/1924,Buenos Aires,6,Tres Arroyos,6833,1080,1065,852,800
centeno,1923,1923/1924,Buenos Aires,6,25 de Mayo,6854,300,200,164,820
centeno,1923,1923/1924,Buenos Aires,6,Villarino,6875,3000,2844,2019,710
centeno,1923,1923/1924,Córdoba,14,Calamuchita,14007,400,360,288,800
centeno,1923,1923/1924,Córdoba,14,General Roca,14035,4600,4550,2593,570
centeno,1923,1923/1924,Córdoba,14,Tercero Abajo,14042,1400,1400,938,670
centeno,1923,1923/1924,Córdoba,14,Juárez Celman,14056,4650,4630,3287,710
centeno,1923,1923/1924,Córdoba,14,Marcos Juárez,14063,650,630,403,640
centeno,1923,1923/1924,Córdoba,14,Río Cuarto,14098,6200,6060,4363,720
centeno,1923,1923/1924,Córdoba,14,Río Primero,14105,200,190,80,420
centeno,1923,1923/1924,Córdoba,14,Río Segundo,14119,700,690,290,420
centeno,1923,1923/1924,Córdoba,14,San Justo,14140,3100,3060,2417,790
centeno,1923,1923/1924,Córdoba,14,Santa María,14147,200,,,
centeno,1923,1923/1924,Córdoba,14,Tercero Arriba,14161,1600,1500,765,510
centeno,1923,1923/1924,Córdoba,14,Unión,14182,2600,2540,1346,530
centeno,1923,1923/1924,Córdoba,14,otros departamentos,,100,61,45,730
centeno,1923,1923/1924,Entre Ríos,30,Concordia,30015,10,10,5,500
centeno,1923,1923/1924,Entre Ríos,30,Diamante,30021,15,15,7,500
centeno,1923,1923/1924,Entre Ríos,30,La Paz,30070,15,15,10,700
centeno,1923,1923/1924,Entre Ríos,30,Paraná,30084,25,24,18,750
centeno,1923,1923/1924,Entre Ríos,30,Victoria,30105,25,25,15,600
