cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
maní,1927,1927/1928,Chaco,22,Campo del Cielo,22105,4213,4213,3160,750
maní,1927,1927/1928,Chaco,22,Napalpí,22049,465,465,348,750
maní,1927,1927/1928,Chaco,22,Resistencia,22140,192,192,144,750
maní,1927,1927/1928,Chaco,22,Coronel Martínez de Hoz,22084,71,71,53,750
maní,1927,1927/1928,Chaco,22,Bermejo,22014,36,36,27,750
maní,1927,1927/1928,Chaco,22,Tobas,22091,33,33,25,750
maní,1927,1927/1928,Chaco,22,Tapenagá,22161,24,24,18,750
maní,1927,1927/1928,Córdoba,14,Santa María,14147,9800,9800,13720,1400
maní,1927,1927/1928,Córdoba,14,Río Segundo,14119,9200,9200,13800,1500
maní,1927,1927/1928,Córdoba,14,Río Primero,14105,1700,1700,1870,1100
maní,1927,1927/1928,Córdoba,14,Tercero Arriba,14161,1100,1100,1650,1500
maní,1927,1927/1928,Córdoba,14,Colón,14021,1000,1000,1300,1300
maní,1927,1927/1928,Córdoba,14,Capital,14014,300,300,390,1300
maní,1927,1927/1928,Córdoba,14,Río Cuarto,14098,12,12,12,1000
maní,1927,1927/1928,Corrientes,18,otros departamentos,,500,500,350,700
maní,1927,1927/1928,Corrientes,18,Monte Caseros,18112,410,410,328,800
maní,1927,1927/1928,Corrientes,18,Lavalle,18091,350,350,245,700
maní,1927,1927/1928,Corrientes,18,Empedrado,18042,300,300,360,1200
maní,1927,1927/1928,Corrientes,18,Esquina,18049,300,300,300,1000
maní,1927,1927/1928,Corrientes,18,San Cosme,18133,260,260,260,1000
maní,1927,1927/1928,Corrientes,18,San Martín,18147,200,200,180,900
maní,1927,1927/1928,Corrientes,18,Bella Vista,18007,170,170,119,700
maní,1927,1927/1928,Corrientes,18,Ituzaingó,18084,150,150,75,500
maní,1927,1927/1928,Corrientes,18,Saladas,18126,150,150,90,600
maní,1927,1927/1928,Corrientes,18,San Luis del Palmar,18140,140,140,140,1000
maní,1927,1927/1928,Corrientes,18,Capital,18021,134,134,67,500
maní,1927,1927/1928,Corrientes,18,Curuzu Cuatia,18035,100,100,100,1000
maní,1927,1927/1928,Corrientes,18,Goya,18070,100,100,40,400
maní,1927,1927/1928,Corrientes,18,Santo Tomé,18168,100,100,70,700
maní,1927,1927/1928,Entre Ríos,30,Federación,30028,7300,7100,7810,1100
maní,1927,1927/1928,Entre Ríos,30,Concordia,30015,3200,3110,3421,1100
maní,1927,1927/1928,Entre Ríos,30,Colón,30008,400,390,409,1050
